long_name;short_name;author;organization
"""Борис Годунов. От слуги до государя всея Руси"". выставка (2015-2016; Москва).   Борис Годунов. От слуги до государя всея Руси = Boris Godunov. From a courtier to the sovereign of all Russia : [кат. выст.] / авт. концепц.,  сост. кат., авт. ст. И.А. Бобровницкая, О.А. Цицинова. - М. : Музеи Московского Кремля, 2015. - 359 с. : ил. ; 28 см. - Библиогр.: с. 345-358. - Музеи Кремля (Москва) : 16 окт. 2015 - 31 янв. 2016. - ISBN 978 5 88678 288 2.";Борис Годунов. От слуги до государя всея Руси;;Музеи Кремля (Москва) : 16 окт. 2015 - 31 янв. 2016
"Бернштейн, Борис Моисеевич.   Беседы о зрителе / Б.М. Бернштейн. - СПб. : Издательство имени Н.И. Новикова, 2015. - 360 с. : ил. ; 22 см. - Библиогр. в постат. примеч. - ISBN 978-5-87991-123-3.";Беседы о зрителе;Бернштейн Б.М.;
"Лапшина, Елена.   Башня Татлина : Опыт графической реконструкции памятника мировой архитектуры / Е. Лапшина. - Екатеринбург : Tatlin, 2015. - 144 с. : ил. ; 28 см. - Библиогр.: с. 141-142. - ISBN 978-5-000750-71-1.";Башня Татлина;Лапшина Е.;
"Арбитайло, Инна Борисовна.   Бахчисарай в литературе и искусстве : [альбом] / И.Б. Арбитайло. - Симферополь : Бизнес-Информ, 2015. - 208 с. : ил. ; 21 см. - Библиогр.: с. 204 - 205. - ISBN 978-5-9906382-6-6.";Бахчисарай в литературе и искусстве;Арбитайло И.Б.;
"""Ателье ""Светопись Левицкого"". Ранняя русская фотография в собрании Государственного Эрмитажа"". выставка (2015-2016; Санкт-Петербург).   Ателье «Светопись Левицкого». Ранняя русская фотография в собрании Государственного Эрмитажа = The Levitsky ""Light-painting"" studio. Early Russian photography in the collection of the State Hermitage Museum : каталог / авт. концепц., ст., курат. выст. Н.Ю. Аветян. - СПб. : Издательство Гос. Эрмитажа, 2015. - 191 с. : ил. ; 27 см. - Библиогр. в постат. примеч. - Гос. Эрмитаж (Санкт-Петербург) : 4 дек. 2015 - 1 февр. 2016. - ISBN 978-5-93572-620-1.";Ателье «Светопись Левицкого». Ранняя русская фотография в собрании Государственного Эрмитажа;;Гос. Эрмитаж (Санкт-Петербург) : 4 дек. 2015 - 1 февр. 2016
"Зеленянская, Юлия Валентиновна.   Архитектурная графика. Придворный Петропавловский собор в Новом Петергофе : Каталог коллекции / Ю. В. Зеленянская. - СПб. : ГМЗ «Петергоф», 2015. - 191 с. : ил. ; 28 см. - (Полный каталог собрания ГМЗ ""Петергоф"" ; [2] : Архитектурная графика XVIII-XX веков). - Библиогр.: с. 168-169. - ISBN 978-5-8015-0359-2.";Архитектурная графика. Придворный Петропавловский собор в Новом Петергофе;Зеленянская Ю. В.;
"""Русское деревянное. Взгляд из XXI века"". выставка (2015-2016; Москва).    Русское деревянное. Взгляд из XXI века : [каталог] / сост. И.В. Чепкунова и др.  - М. : Кучково поле	, 2015. - 29 см. - Государственный музей архитектуры им. А.В. Щусева (Москва): 3.09.2015 - 14.02.2016.   [Т. 1] : Архитектура XIV-XIX веков / предисл.: Ирина Коробьина, Ирина Чепкунова. -  2015. - 304 с. : ил. - Библиогр.: с. 296-297. - ISBN 978-5-9950-0566-7.";Архитектура XIV-XIX веков;;
"Клименко, Юлия Гавриловна.   Архитекторы Москвы. И.Э. Грабарь / Ю.Г. Клименко. - М. : Прогресс-Традиция, 2015. - 374 с. : ил. ; 25 см. - Библиогр. в примеч. - ISBN 978-5-89826-453-6.";Архитекторы Москвы. И.Э. Грабарь;Клименко Ю.Г.;
"""Архитектор Павловского городового направления Иван Яковлевич Потолов"". выставка (2015; Санкт-Петербург).   Архитектор Павловского городового правления Иван Яковлевич Потолов : [кат. выст.] / авт. ст. Е.Е. Анисимова, О.И. Ламеко и др. - СПб. : ГМЗ «Павловск», 2015. - 143 с. : ил., схем. ; 23х25 см. - Библиогр.: с. 143. - Гос. музей-заповедник ""Павловск"" (Санкт-Петербург) : 15 окт. - 10 дек. 2015. - На авантитуле : К 200-летию со дня рождения (1815-1887). - ISBN 978-5-91816-037-4.";Архитектор Павловского городового правления Иван Яковлевич Потолов;;"Гос. музей-заповедник ""Павловск"" (Санкт-Петербург) : 15 окт. - 10 дек. 2015"
"   Архитектор Николай Львов. Храмы, дома, усадьбы эпохи классицизма = Architect Nikolai Lvov. Churches, Houses, Estates in the Epoch of Classicism / [авт.-сост.: З. Золотницкая]. - М. : Кучково поле, 2015. - 175 с. : ил., план. ; 24 см. - (Коллекция Музея архитектуры им. А.В. Щусева ; Вып. 3). - Парал. на рус. и англ. яз. - ISBN 978-5-9950-0530-8.";Архитектор Николай Львов. Храмы, дома, усадьбы эпохи классицизма;;Парал. на рус. и англ. яз.
"Хорхордина, Татьяна Иннокентьевна.   Архивная эвристика : учебник / Т.И. Хорхордина, А.В. Попов ; Под ред. Е.И. Пивовара. - 2-е изд., исправленное и дополненное. - М. : РГГУ, 2015. - 294 с. ; 20 см. - Библиогр.: с. 288-292. - ISBN 978-5-7281-1667-7.";Архивная эвристика;Хорхордина Т.И.;
   Труды Государственного Эрмитажа / Гос. Эрмитаж. - М. : Искусство, 1956 - 20 . - 27 см.   Т. 77 : Археология без границ : коллекции, проблемы, исследования, гипотезы / науч. ред. Е.Ф. Королькова. -  2015. - 557 с. : ил. - ISBN 978-5-93572-621-8.;Археология без границ;;
"   Российская историческая энциклопедия : РИЭ : [в 18 т.] / гл. ред.  А. О. Чубарьян ; редкол.: Б. В. Ананьич [и др.] ; Российское военно-историческое  общество. - М. : ОЛМА Медиа Групп, 2015-. - 30 см. - ISBN 978-5-373-07471-1.   Т. 2 : Аристомен - Благоев / ред. группа: Е. С. Галкина... и др. -  2015. - 616 с. : ил.,. - ISBN 978-5-373-07473-5.";Аристомен - Благоев;;
"""Антонио Менегетти. Мастер радости"". выставка (2015; Санкт-Петербург).   Антонио Менегетти. Мастер радости = Antonio Meneghetti. Maestro di allegria : [каталог] / авт. ст. В.А. Дмитриева и др. - СПб. : Palace Editions, 2015. - 107 с. : ил. ; 23 см. - (Гос. Русский музей: Альманах ; Вып. 450). - Гос. Русский музей, Мраморный дворец (Санкт-Петербург) : 10 июня 2015 - 7 сент. 2015. - ISBN 978-5-93332-517-8. - ISBN 978-3-86384-957-3.";Антонио Менегетти. Мастер радости;;Гос. Русский музей, Мраморный дворец (Санкт-Петербург) : 10 июня 2015 - 7 сент. 2015
"   Античные памятники Тарханкута : (Альбом-каталог музейных экспонатов из фондов ГБУРК ИАМЗ ""Калос Лимен"") / сост.: Составители А. Р. Кемалова, А. С. Гарипов, Т. Н. Смекалова, А. Е. Пасуманский, Р.С. Кецко. - СПб. : Издательский дом ""Волна"", 2015. - 159 с. : ил. ; 28 см. - Памяти Азиме Кемаловой посвящается. - На шмуцтит. дарств. надпись  Музею от Денисенко Ю.А. - ISBN 978-5-86983-678-6.";Античные памятники Тарханкута;;Памяти Азиме Кемаловой посвящается
Арсланов, Виктор Григорьевич.    Теория и история искусствознания : [учебное пособие для вузов] / Виктор Арсланов. - М. : Академический проект, 2015. - 22 см. - (Концепции).   1 : Античность. Средние века. Возрождение. -  2015. - 436 с. : ил., [8] л. цв. ил. - ISBN 978-5-8291-1676-7.;Античность. Средние века. Возрождение;;
"""Андрей Бодров. Художник-график"". выставка (2015; Санкт-Петербург).   Андрей Бодров : Художник-график  = Andrey Bodrov : Graphic artist : каталог / авт. ст. Е.Д. Климова. - СПб. : Palace Editions, 2015. - 180 с. - (Гос. Русский музей: Альманах ; Вып. 455). - Гос. Русский музей, Строгановский дворец (Санкт-Петербург) : 3 сент. - 7 дек. 2015. - ISBN 978-5-93332-522-2.";Андрей Бодров : Художник-график ;;Гос. Русский музей, Строгановский дворец (Санкт-Петербург) : 3 сент. - 7 дек. 2015
"Когут, Екатерина Викторовна.   Английская карета царя Бориса Годунова / Е.В. Когут. - М. : Московский Кремль, 2015. - 55 с. : ил. ; 19 см. - (История одного шедевра). - Библиогр.: с. 55. - ISBN 978-5-88678-292-9.";Английская карета царя Бориса Годунова;Когут Е.В.;
"Винсент, Сьюзан Дж.   Анатомия моды. Манера одеваться от эпохи Возрождения до наших дней = The Anatomy of fashion. Dressing the body from the Renaissance to today / Сьюзан Дж. Винсент ; пер. с англ. Елены Кардаш. - М. : Новое литературное обозрение, 2015. - 273, [1] с. : ил. ; 25 см. - (Библиотека журнала ""Теория моды""). - Библиогр.: с. 256-271. - ISBN 978-5-4448-0224-3.";Анатомия моды. Манера одеваться от эпохи Возрождения до наших дней;Винсент С. Дж.;
"Антонов, Дмитрий Игоревич.   Анатомия ада : Путеводитель по древнерусской визуальной демонологии / Д.И. Антонов, М.Р. Майзульс. - 2-е  издание, испр. и доп. - М. : Форум, 2015. - 238, [1] c. : ил. ; 25 см. - Тит. л. парал. рус., англ. - ISBN 978-5-91134-842-7.";Анатомия ада;Антонов Д.И.;Тит. л. парал. рус., англ.
"   Альбрехт Адам. Русский альбом / сост. Б.И. Асварищ, Г.В. Вилинбахов. - М. : Кучково поле, 2015. - [212] с. : ил. ; 25х32 см. - Библиогр. в подстр. примеч. - В содерж. : А. Адам. Из жизни художника-баталиста. - ISBN 978-5-9950-0540-7.";Альбрехт Адам. Русский альбом;;
"""Александр Пономарёв. Ветрувианский человек"". выставка (2015; Москва).   Александр Пономарёв. Ветрувианский человек = Alexander Ponomarev. Windtruvian Man : [каталог] / авт. текстов А. Данилова, А. Пономарев ; худ. А. Иванова-Йохансон ; пер. М. Грачёва, Л. Лежнёвой. - М. : ГМИИ им. А.С. Пушкина, 2015. - 79 с. : ил. ; 26 см. - ГМИИ им. А.С. Пушкина (Москва): 1 окт. – 15 нояб. 2015. - ISBN 978-5-905110-66-5.";Александр Пономарёв. Ветрувианский человек;;ГМИИ им. А.С. Пушкина (Москва): 1 окт. – 15 нояб. 2015
"Александр Колдер. Ретроспектива. выставка (2015; Москва).   Александр Колдер. Ретроспектива : из собрания фонда Колдера (Нью-Йорк) и других частных коллекций / авт. текстов Д. Перл и др. - М. : ГМИИ им. А.С. Пушкина, 2015. - 143 c. : ил. ; 29 см. - ГМИИ им. А.С. Пушкина (Москва): 8 июн. - 30 авг. 2015. - ISBN 978-5-4330-0059-9.";Александр Колдер. Ретроспектива;;ГМИИ им. А.С. Пушкина (Москва): 8 июн. - 30 авг. 2015
"   Александр Арнштам		 : Вкус времени: Жизнь. Искусство. Творческие параллели. 1880-1969 / сост. и отв. ред.: Ю. С. Гудович ; вступ. статьи: М. Л. Магидович, М. Ю. Герман, А. В. Толстой. - М. : Русский путь : Вифсаида, 2015. - 260 с. : ил., портр. ; 29 см. - ISBN 978-5-85887-463-8. - ISBN 978-5-990348-04-2.";Александр Арнштам		;;
"   Александр Агабеков : альбом / авт. ст. А.С. Агабеков, О.Н. Мусакова. - СПб. : Гос. Русский музей : Palace Editions : Проект ""Свободные художники Петербурга"", 2015. - 239 с. : ил. ; 30 см. - В надзаг. : Музей Людвига в Русском музее. - ISBN 978-5-905704-15-4.";Александр Агабеков;;В надзаг. : Музей Людвига в Русском музее
"   Академия Штиглица : Лучшие выпускные работы за 140 лет / под. ред. Т.В. Горбуновой ; авт. ст. В. Кичеджи, Г. Власова. - СПб. : СПГХПА им. А.Л. Штиглица, 2015. - 376 с. : ил. ; 30 см. - ISBN 978-5-9907011-6-8.";Академия Штиглица;;
"   Авангардная музеология / под ред. Арсения Жиляева. - М. : V-A-C press, 2015. - 510 c. : ил. ; 22 см. - ISBN 978-5-990-6255-0-1.";Авангардная музеология;;
"Солкин, Виктор Викторович.   Абидос : Ступени к бессмертию / В.В. Солкин. - М. : Кучково поле, 2015. - 495 с. : ил. ; 26 см. - (Египтология). - Библиогр.: с. 478-479. - На шмуцтит.: дарств. надпись от автора. - ISBN 978-5-9950-0365-6.";Абидос;Солкин В.В.;На шмуцтит.: дарств. надпись от автора
"   Российская историческая энциклопедия : РИЭ : [в 18 т.] / гл. ред.  А. О. Чубарьян ; редкол.: Б. В. Ананьич [и др.] ; Российское военно-историческое  общество. - М. : ОЛМА Медиа Групп, 2015-. - 30 см. - ISBN 978-5-373-07471-1.   Т. 1 : Аалто - Аристократия / ред. группа: Е.С. Галкина, А.К. Гладков ... и др. -  2015. - 616 с. : ил.,. - ISBN 978-5-373-07472-8.";Аалто - Аристократия;;
"∑ταμπολιδηζ, Nιχος  Xρ.   Το ορατό μέρος της Ιστορίας : Σχέσεις Κύπρου, Κρήτης και Αιγαίου στην Πρώιμη Εποχή του Σιδήρου : 23η ετησια διαλεξη / N. Xρ. ∑ταμπολιδηζ. - Λευκωσία : Ίδρυμα Α. Γ. Λεβέντης, 2015. - 49 с. : ил. ; 21 см. - Библиогр.: с. 18. - Annual Lecture of the A. G. Leventis Foundation. -  Διαλεξη μνημη Κωνσταντινου Λεβεντη, Iδρυμα ""Αναστασιος Γ.  Λεβεντη Λεβεντειο"" Δημοτιχο Μονσειο Λευχωσιας (Λευχωσια):  31.10.2014. - Gift from Foundation ""Anastasios G. Leventis"". - ISBN 978-9963-732-12-8.";Το ορατό μέρος της Ιστορίας;∑ταμπολιδηζ N. Xρ.;Annual Lecture of the A. G. Leventis Foundation
"Szczerski, Andrzej.   Views of Albion : The Reception of British Art and Design in Central Europe, 1890-1918 / Andrzej Szczerski. - Bern ; New York : Peter Lang, [2015]. - 442 с. : ил. ; 23 см. - (Internationalism and the Arts at the Fin de Siècle ; 1). - Библиогр.: с. 419-421. - ISBN 978-3-0353-9869-4.";Views of Albion;Szczerski A.;
"""Valery Koshlyakov. Offrande"". exposition (2014; Paris).   Valery Koshlyakov : Offrande = Offering = Приношение : [catalogue] / coordination éditoriale: Juliette Blanchot, Sirrine Laalou ; Commissaire de l’exposition: Olga Golovanova. - Paris : Éditions Dilecta, 2015. - 73, [6] с. : ил. ; 30 см. - Réfectoire des Cordeliers (Paris): 25 octobre - 16 novembre 2014. - ISBN 979-10-90490-68-0.";Valery Koshlyakov : Offrande;;Réfectoire des Cordeliers (Paris): 25 octobre - 16 novembre 2014
"Grimaldi Forum (Monaco).   Revue de presse : exposition ""De Chagall à Malévitch, la révolution des avant-gardes"". - Monaco : Grimaldi Forum, 2015. - 306 с. : ил. ; 30 см. - Grimaldi Forum (Monaco): 12 juillet - 6 septembre 2015.";Revue de presse;;Grimaldi Forum (Monaco): 12 juillet - 6 septembre 2015
"   Red in Vogue / под ред. Виктории Давыдовой. - М. : Конде Наст, 2015. - 183 с. : ил. ; 30 см.";Red in Vogue;;
"""Osaka Expo ’70 Design project"". exhibition (2015; Tokyo).   Osaka Expo '70  : design project : [catalogue] / ed. by Karaswa Masahiro...[et al.]. - first published. - Tokyo : The National Museum of Modern Art, 2015. - 143 с. : ил. ; 30 см. - National Museum of Modern Art (Tokyo): 20 March  - 17 May 2015. - ISBN 978-4-907102-16-6.";Osaka Expo '70 ;;National Museum of Modern Art (Tokyo): 20 March  - 17 May 2015
   Искусствознание : Журнал по истории и теории искусства / Гос. ин-т искусствознания МК РФ. - М. : Гос. институт искусствознания, 2015-20. - 22 см.   №3-4/2015. -  2015. - 620 с. : ил. - Библиогр. в конце ст. - ISBN 978-5-982-870-43-8.;№3-4/2015;;
"""Māksla man līdzās = Art I've lived with = Искусство, с которым я живу"". izstāde (2015; Riga).   Māksla man līdzās : Barišņikova Mākslas centram piederošās, Mihaila Barišņikova kolekcijas izstāde = Art I've lived with : The Mikhail Baryshnikov Collection, on loan from Baryshnikov Arts Center = Искусство, с которым я живу : выставка, принадлежащей Арт-центру Барышникова коллекции Михаила Барышникова / tekstu: M. Barišņikovs, D.E. Baults. - Rīga : kim? Laikmetīgās mākslas centrs, [2015]. - 149 с. : ил. ; 27 см. - Mākslas muzejs „Rīgas Birža"" (Riga): 16.05.-05.07.2015. - ISBN 978-9934-8522-0-6.";Māksla man līdzās : Barišņikova Mākslas centram piederošās, Mihaila Barišņikova kolekcijas izstāde;;"Mākslas muzejs „Rīgas Birža"" (Riga): 16.05.-05.07.2015"
   Życie codzienne w prahistorycznej Macedonii = Everyday life in prehistoric Macedonia /  Redaktor: Marzena Szmyt. - Poznań  :  Muzeum Archeologiczne, 2015.   Tom 2 : Katalog zabytków = Catalogue of artefacts / autorzy tekstów: Dr. Polyxeni Adam-Veleni, Eleftheria Akrivopoulou...[et al.]. -  2015. - 319 с. : ил.;Katalog zabytków;;
"""In Memoriam"". выставка (2015-2016; Павловск).   In Memoriam. Павловск : Собрание дворца-музея : Потери и утраты / авт.-сост. Р.Р. Гафифуллин. - СПб. : ГМЗ «Павловск», 2015. - 267 с. : ил. ; 29 см. - Гос. музей-заповедник ""Павловск"" (СПб.) : 25 июня 2015 - 31 март. 2016. - В надзаг. тит. л. Сотрудникам музея 1940-х годов посвящается. - В надзаг. обл. : 70-летию Великой Победы посвящается. - ISBN 978-5-91816-035-0.";In Memoriam. Павловск;;"Гос. музей-заповедник ""Павловск"" (СПб.) : 25 июня 2015 - 31 март. 2016"
"""Экзотический мир Ханта Слонема. Живопись"". выставка (2015; Москва).   Hunt Slonem. Paintings  = Хант Слонем. Живопись. - New York / London : Glitterati Incorporated, 2015. - [134 c.] : ил. ; 33 см. - На форзаце рисунок художника. - Галерея искусств Зураба Церетели (Москва) : 30 сент. - 1 нояб. 2015. - ISBN 978-0-9962930-2-0.";Hunt Slonem. Paintings ;;На форзаце рисунок художника
"Verstegen, Ian F.   Federico Barocci and the Oratorians : Corporate Patronage and Style in the Counter-Reformation / Ian F. Verstegen. - Kirksville, Missouri : Truman State University Press, 2015. - 172 с. : ил. ; 26 см. - (Early modern studies ; 14). - Библиогр.: с. 150-162. - ISBN 978-1-61248-132-6.";Federico Barocci and the Oratorians;Verstegen I. F.;
"""De Chagall à Malevitch: la révolution des Avant-gardes"". exposition (2015; Monaco).   De Chagall à Malevitch  : La révolution des Avant-gardes  / dir. d'ouvrage J.-L. Prat ; aut. J.-C. Marcadé...[et al.]. - Paris : Hazan , 2015. - 406 с. : ил. ; 28 см. - Библиогр.: с. 327-330. - Grimaldi Forum (Monaco): 12 juil. - 6 sep. 2015. - ISBN 978-2-754-1084-4-7.";De Chagall à Malevitch ;;Grimaldi Forum (Monaco): 12 juil. - 6 sep. 2015
"   C Митридата дует ветер : Боспор и Причерноморье в античности  : к 70-летию В.П. Толстикова : [сборник статей] / авт. ст. В.Д. Блаватский, Н.В. Быковская, Т.В. Умрихина... [и др.] ; отв. ред. Д.В. Журавлев. - М. : Университет Дмитрия Пожарского, 2015. - 344 с. : ил. ; 30 см. - Библиогр. в постат. примеч. - Резюме на англ. яз. - Экз. №160319 с дарств. надп. В.П. Толстикова. - ISBN 978-5-91244-143-1.";C Митридата дует ветер;;Резюме на англ. яз.
"""Art in Embassies = Искусство в посольствах"". exhibition (2015; Moscow).   Art in Embassies  = Искусство в посольствах : United States Embassy, Moscow / curator: Robert Soppelsa ; introd.: John Tefft, Mariella Tefft. - Washington : Art in Embassies, 2015. - 48 с. : ил. ; 22 см. - Резиденция посла США в России Спасо-Хаус (Москва): октябрь 2015.";Art in Embassies ;;Резиденция посла США в России Спасо-Хаус (Москва): октябрь 2015
"   And the Earth is Joyous... : essays in Honour of Galina A. Belova = И земля в ликовании... : сборник статей в честь Г.А. Беловой / отв. ред.  С.В. Иванов, Е.Г. Толмачева. - М. : ЦЕИ РАН, 2015. - 400 с. : ил. ; 25 см. - Библиогр. в конце ст. - Библиогр. осн. публикаций Г.А. Беловой : с. 10-13. - ISBN 978-5-904488-06-2.";And the Earth is Joyous... : essays in Honour of Galina A. Belova;;
"""3-я Фотобиеннале историко-архивной фотографии из российских музеев и частных собраний"". выставка (2016; Санкт-Петербург).   3-я фотобиеннале историко-архивной фотографии из российских музеев и частных собраний : каталог / авт. вступ. ст., сост. С. Зинченко. - СПб. : Palace Editions, 2015. - 240 с. : ил. ; 23 см. - (Гос. Русский музей: Альманах ; Вып. 462). - Гос. Русский музей, Мраморный дворец (Санкт-Петербург) : 25 февр. - 11 мая 2016. - ISBN 978-5-93332-535-2. - ISBN 978-3-86384-961-0.";3-я фотобиеннале историко-архивной фотографии из российских музеев и частных собраний;;Гос. Русский музей, Мраморный дворец (Санкт-Петербург) : 25 февр. - 11 мая 2016
   Искусствознание : Журнал по истории и теории искусства / Изд. Гос. ин-та искусствознания и Науч. совета по ист. -теорет. проблемам искусствознания отд. лит. и яз. РАН. - М., 1998-20 .   1-2/2015. -  2015. - Библиогр. в постат. примеч.;1-2/2015;;
"""«Сосуд вечной радости»: японские миниатюрные чайники для чая сэнтя в собрании Эрмитажа"". выставка (2015; Санкт-Петербург).   «Сосуд вечной радости» : японские миниатюрные чайники для чая сэнтя в собрании Эрмитажа = ""A vessel of eternal joy"" : Japanese miniature teapots for sencha tea from the Hermitage collection : каталог / Т.Б. Арапова, А.А. Егорова. - СПб. : Издательство Гос. Эрмитажа, 2015. - 231 с. : ил. ; 26 см. - Библиогр.: с. 224-225 и в примеч. - Гос. Эрмитаж (Санкт-Петербург) : 17 июля - 15 нояб. 2015. - ISBN 978-5-93572-607-2.";«Сосуд вечной радости» : японские миниатюрные чайники для чая сэнтя в собрании Эрмитажа;;Гос. Эрмитаж (Санкт-Петербург) : 17 июля - 15 нояб. 2015
"""Подарок созерцающим"". Странствия Ибн Баттуты"". выставка (2015; Санкт-Петербург).   «Подарок созерцающим». Странствия Ибн Баттуты = ""A gift to contemplators"". Ibn Battuta travels : каталог / курат. выст., авт. ст. А.Д. Притула, А.Н. Теплякова. - СПб. : Издательство Гос. Эрмитажа, 2015. - 511 с. : ил., карт., схем. ; 28 см. - Библиогр.: с. 490-509. - Гос. Эрмитаж (Санкт-Петербург) : 8 сент. - 13 дек. 2015. - ISBN 978-5-93572-619-5.";«Подарок созерцающим». Странствия Ибн Баттуты;;Гос. Эрмитаж (Санкт-Петербург) : 8 сент. - 13 дек. 2015
"""Обитель милосердия"". Искусство тибетского буддизма"". выставка (2015-2016; Санкт-Петербург).   «Обитель милосердия». Искусство тибетского буддизма = ""Abode of charity"". Tibetan buddhist art : каталог / авт. концепц., ст., науч. ред., курат. выст. Ю.И. Елихина ; авт. ст. К.Ф. Самосюк. - СПб. : Издательство Государственного Эрмитажа, 2015. - 511 с. : ил. ; 28 см. - Библиогр.: с. 500-509. - Гос. Эрмитаж (Санкт-Петербург) : 9 окт. 2015 - 17 янв. 2016. - ISBN 978-5-93572-617-1.";«Обитель милосердия». Искусство тибетского буддизма;;Гос. Эрмитаж (Санкт-Петербург) : 9 окт. 2015 - 17 янв. 2016
"Дуглас, Шарлотта.   ""Лебеди иных миров"" и другие статьи об авангарде : [пер. с англ.] / Ш. Дуглас. - М. : Три квадрата	, 2015. - 368 с., [12] л. ил. : ил. ; 22 см. - (Artes et media). - Библиогр. в постат. примеч. - ISBN 978-5-94607-169-7.";"""Лебеди иных миров"" и другие статьи об авангарде";Дуглас Ш.;
"Голомшток, Игорь Наумович.   ""Занятие для старого городового""  	 : Мемуары пессимиста / И.Н. Голомшток. - М. : АСТ, 2015. - 346 с., [24] л. ил. ; 22 см. - (Мемуары - XXI век). - ISBN 978-5-17-087111-7.";"""Занятие для старого городового""  	";Голомшток И.Н.;
"   	Книга детства : Дневники Ариадны Эфрон. 1919-1921 / сост., подгот. текста, введение и примеч. Е.Б. Коркиной. - М. : Русский путь, 2015. - 248 с : ил. ; 22 см. - ISBN 978-5-85887-454-6.";	Книга детства;;
"Старр, Честер.    Флот римской империи 	 : Роль военно-морских сил в поддержании обороноспособности и сохранении античного государства со времен Октавиана Августа и до Константина Великого / Ч. Старр ; пер. с англ. Л.А. Игоревского. - М. : Центрполиграф, 2015. - 288 с. : ил. ; 21 см. - Библиогр.: с.216-286. - ISBN 978-5-9524-5165-0."; Флот римской империи 	;Старр Ч.;
"Кузнецов, Сергей Олегович.    Строгоновский дворец : Архитектурная история / С.О. Кузнецов. - СПб. : Коло, 2015. - 316, [3] с., [14] л. цв. ил. : ил. ; 25 см. - Библиогр. в примеч.: с. 307-317. - ISBN 978-54462-0015-3	."; Строгоновский дворец;Кузнецов С.О.;
"Дэвис, Уильям.    Один день в Древнем Риме: исторические картины жизни имперской столицы в античные времена		 = A day in Old Rome: a picture of roman life / У. Дэвис ; пер. с англ. В.Д. Кайдалова. - М. : Центрполиграф, 2015. - 446 с. : ил. ; 21 см. - ISBN 978-5-9524-5167-4."; Один день в Древнем Риме: исторические картины жизни имперской столицы в античные времена		;Дэвис У.;
"Петинова, Елена Фоминична.   Юрий Алексеевич Васнецов : Жизнь и творчество 1900-1973 : [иллюстрированная монография] / Е.Ф. Петинова. - Псков : Псков-Полиграф, 2014. - 352 с. : ил., портр. ; 18х25 см. - Библиогр.: с. 346-350. - ISBN 978-5-94542-305-3.";Юрий Алексеевич Васнецов;Петинова Е.Ф.;
"Хаас, Гэри ван.   Юность Пикассо в Париже / Г.в. Хаас ; пер. с англ. К.А. Сошинской. - М. : Эксмо, 2014. - 192 с. : ил. ; 22 см. - (Роман-биография. Свидетели эпохи. ; [1]). - ISBN 978-5-699-61405-9.";Юность Пикассо в Париже;Хаас Г.в.;
"Гордон, Колин Дуглас.   Эпоха Аттилы: Римская империя и варвары в V веке  = The age of Attila: fifth-century byzantium and the barbarians / К.Д. Гордон ; пер. с англ. И.Б. Куликовой. - М.	 : Центрполиграф, 2014. - 253 с. : ил. ; 21 см. - ISBN  978-5-9524-5102-5.";Эпоха Аттилы: Римская империя и варвары в V веке ;Гордон К.Д.;
"Махов, Александр Евгеньевич.   Эмблематика  : Макрокосм  / А.Е. Махов. - М. : Intrada, 2014. - 600 с. : ил. ; 23 см. - Библиогр.: с.556-568. - ISBN 978-5-8125-2030-4.";Эмблематика ;Махов А.Е.;
"Мариас, Фернандо.   Эль Греко  	 : Жизнь и творчество / Фернандо Мариас. - М. : Арт-Волхонка	, 2014. - 348 с. : ил. ; 32 см. - Библиогр.: с. 308-329. - ISBN 978-5-904508-60-9 (рус.). - ISBN 978-84-15042-65-5 (исп.).";Эль Греко  	;Мариас Ф.;
"Теймз, Ричард.   Шекспировский Лондон за пять гроутов в день  	 / Р. Теймз ; пер. с англ. С.Г. Седовой. - М. : Вече, 2014. - 208 с., [8] л. ил. : ил. ; 21 cм. - (Путешествие во времени ; [3]). - ISBN 	978-5-4444-0489-8.";Шекспировский Лондон за пять гроутов в день  	;Теймз Р.;
"Провуайер, Пьер.   Шагал. Деяние и Слово : Пастели из Национального музея Библейского послания / П. Провуайер ; перевод с итал. Т. Быстрова. - М. : КоЛибри, 2014. - 230, [10] с. : ил. ; 33 см. - Библиогр.: с. [240]. - ISBN 978-5-389-08508-4.";Шагал. Деяние и Слово;Провуайер П.;
"Форестье, Сильви.   Шагал : Библейские сюжеты : Гуаши из Национального музея Библейского послания  / С. Форестье, Н. Азан-Брюне, Е. Кузьмина ; перевод с итал. И. Шумилова, Г. Шумилова. - М. : КоЛибри, 2014. - 240 с. : ил. ; 33 см. - ISBN 978-5-389-08469-8.";Шагал;Форестье С.;
"Сапронов, Петр Александрович.   Человек и Бог в западноевропейской живописи XIV-XX вв. / П.А. Сапронов. - СПб. : Гуманитарная Академия	, 2014. - 576 с., [32]  с. ил. : ил. ; 25 см. - ISBN 978-5-93762-109-2.";Человек и Бог в западноевропейской живописи XIV-XX вв.;Сапронов П.А.;
Алимов, Игорь Александрович.    История китайской классической литературы с древности и до XIII века :  поэзия, проза = The history of classical chinese literature from the antiquity to XIII th C. : poetry, prose : в 2 частях / И.А. Алимов, М.Е. Кравцова. - СПб. : Петербургское Востоковедение, 2014. - 25 см. - (Российское китаеведение : история, современное состояние и перспективы развития). - ISBN 978-5-85803-473-5.   Часть 2. -  2014. - [709]-1407 с. - ISBN 978-5-85803-475-9.;Часть 2;Алимов И.А.;
